HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,230088
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,256637
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,288495
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,132743
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,209911
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,119469
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,184070
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,274336
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,380530
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,268141
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,389380
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,199115
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,327433
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,408849
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,314159
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,124778
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,348672
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,291150
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,280530
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,35398
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,176991
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,239823
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,332743
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168141
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,323008
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,171681
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,307964
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,205309
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,200221
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,146017
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,181415
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,219469
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,250176
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,279646
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,367256
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,283185
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,424778
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,380530
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,223008
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,305309
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,179646
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,163716
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,103663
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,151327
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,202654
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,247787
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,159292
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,279646
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,119469
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,268849
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,265486
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,213274
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,107345
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,349557
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,245132
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,221238
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,132743
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,369026
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,144247
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,216814
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,161946
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,150442
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,128318
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,141592
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,243362
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,212389
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,227433
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,92920
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,278761
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,341592
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,194690
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,265486
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,296460
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,260176
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,371681
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,415929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,338938
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,252212
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92920
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,79646
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,305309
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,307079
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,75221
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,78318
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,194690
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,64601
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,117699
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,96460
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,219469
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,98230
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,89380
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,274336
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,98477
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,191938
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,212389
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,265442
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,261061
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,284955
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,283185
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,192920
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,137168
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,287610
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,347787
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,398230
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,194690
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92920
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92035
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,256637
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,349557
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,196460
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,146017
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,198230
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,393805
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,200318
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,198451
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,237610
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,149557
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143238
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,265486
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,448672
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,214601
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,238938
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,252212
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,300000
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,199115
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,260176
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,530973
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,251327
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,358407
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73053
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,225663
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,115044
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,309734
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,238938
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,150442
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,252212
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,277876
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,114159
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,238053
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,66371
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,190265
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,68141
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,316371
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,318584
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,292035
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,209442
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,173893
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,135840
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73053
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,433628
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,442477
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,192035
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,97345
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,172566
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,105840
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,35398
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,210619
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,392035
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,307079
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,269911
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,446902
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38053
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,250442
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,146256
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,115044
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,191938
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,97345
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,183185
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,52212
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,169026
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,134513
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,117699
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,337168
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,119469
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,265486
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,345132
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,124778
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92035
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,267256
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,250176
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,128318
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,86725
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,265486
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,242477
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,101769
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,230088
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,159292
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,234513
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,226548
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,53097
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,185840
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,247787
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,386725
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,243362
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,240707
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,112831
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,178761
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,428318
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,181858
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,256637
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,163716
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,128318
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,345132
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,265486
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,75221
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,296460
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,327433
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,201566
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,464601
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168141
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,48672
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,55752
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,191938
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,161061
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,433628
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,371681
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,203539
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,106194
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,287610
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,420353
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,100000
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,146256
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,167256
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,286902
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,262831
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,187610
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,191150
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,228318
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,373893
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,249557
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,323008
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,265486
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,526548
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,198451
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,191150
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,187610
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,327433
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,65044
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,167256
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,79646
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,115044
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,234513
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,63716
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,37168
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,498,44690
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,178761
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,345132
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,238938
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,330088
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,158407
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,79646
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,318584
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,360176
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,57522
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,53982
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,70796
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,184070
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,57522
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,162831
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,318584
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,491150
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,57522
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,305309
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,274336
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,181415
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,260176
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,56637
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,179646
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,44247
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,146902
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,210619
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,212389
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,393805
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,268141
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168141
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,85840
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,119469
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,221238
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,281858
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,39823
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,279646
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,250176
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,100884
